  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
KI ENERGY SARL,18/01/2010,YOUSSEF VILLA 24/C IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/ki-energy-sarl, SNDKR2010B854,1000000
TAXI  EXPRESS  SARL,19/01/2010,SACRE COEUR 3 PYROTECHNIE  ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/taxi-express-sarl, SNDKR2010B1023,1000000
MDP IMPORT-EXPORT SARL,19/01/2010,DAKAR  REBEUSS  1  AVENUE DU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/mdp-import-export-sarl, SNDKR2010B1026,1000000
BELGIQUE DISTRIBUTION SARL,19/01/2010,DAKAR  SICAP FOIRE VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/belgique-distribution-sarl, SNDKR2010B1027,1000000
RK CONSULTING SUARL,19/01/2010,DAKAR  MERMOZ PYROTECHNIE ...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/rk-consulting-suarl, SNDKR2010B1024,1000000
SENEGAL ENERGIE ALTERNATIVE SUARL,18/01/2010,OUEST FOIRE LOT N°78 -DAKAR,S.U.A.R.L,PRESTATION DE SERVICES INDUSTRIELS,http://www.creationdentreprise.sn/senegal-energie-alternative-suarl, SNDKR2010B911,1000000
AFCON ENERGY SARL,18/01/2010,OUEST FOIRE LOTISSEMENT DJILY...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/afcon-energy-sarl, SNDKR2010B910,1000000
INTERNATIONAL DE DISTRIBUTION ET DE SERVICES SARL,18/01/2010,SACRE COEUR 3 VILLA N°9679-...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES PHARMACEUTIQUES,http://www.creationdentreprise.sn/international-de-distribution-et-de-services-sarl, SNDKR2010B909,1000000
HORIZONS PLUS SARL,18/01/2010,19 CITE SOM  HANN MARISTES à...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/horizons-plus-sarl, SNDKR2010B906,1500000
NDINDI MULTISERVICES SARL,18/01/2010,DAKAR-FASS MBAO ROUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/ndindi-multiservices-sarl, SNDKR2010B905,1000000
