  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
 SNDKR2009B14519, 1.000.000 F CFALA REINE DE SABA SUARL,25/08/2009,DAKAR Gibraltar I numéro 48,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/la-reine-de-saba-suarl, SNDKR2009B14519, 1.000.000 F CFA
 SNDKR2009B11815, 1.000.000 DE FRANCS CFAHABIATANIA SOCIAL SENEGAL SARL,06/07/2009,DAKAR 6  RUE FELIX FAURE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/habiatania-social-senegal-sarl, SNDKR2009B11815, 1.000.000 DE FRANCS CFA
 SNDKR2009B11390, 1.000.000 DE FRANCS CFA6 COMMUNICATION SARL,20/01/2009,ALMADIES RESIDENCE ROSE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/6-communication-sarl, SNDKR2009B11390, 1.000.000 DE FRANCS CFA
 SNDKR2009B11749, 1.000.000 DE FRANCS CFAAZ KAWSARA BUSINESS AND CONSULTING SARL,06/07/2009,DAKAR (SENEGAL) FASS BATIMENT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/az-kawsara-business-and-consulting-sarl, SNDKR2009B11749, 1.000.000 DE FRANCS CFA
 SNDKR2009B11868, 1.000.000 DE FRANCS CFAKEUR KHALIFA ABABACAR SY SARL,02/07/2009,PARCELLES ASSAINIES UNITE 08...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/keur-khalifa-ababacar-sy-sarl, SNDKR2009B11868, 1.000.000 DE FRANCS CFA
 SNDKR2009B11548, 1.000.000 DE FRANCS CFAGENERALE D&#039;EQUIPEMENT ET DE CONSTRUCTION SARL,02/07/2009,KM 9 BOULEVARD DU CENTENAIRE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/generale-dequipement-et-de-construction-sarl, SNDKR2009B11548, 1.000.000 DE FRANCS CFA
 SNDKR2009B11746, 1.000.000 DE FRANCS CFASTANMOS RESSOURCES SARL,02/07/2009,DAKAR (SENEGAL)SACRE COEUR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/stanmos-ressources-sarl, SNDKR2009B11746, 1.000.000 DE FRANCS CFA
 SNDKR2009B11708, 1.000.000 DE FRANCS CFADAKAR BUREAUX SARL,03/07/2009,DAKAR  124 RUE MOUSSE DIOP...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/dakar-bureaux-sarl, SNDKR2009B11708, 1.000.000 DE FRANCS CFA
 SNDKR2009B11396, 64.000.000 DE FRANCS CFASIKNA SARL,30/06/2009,DAKAR 30 JULES FERRY,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/sikna-sarl, SNDKR2009B11396, 64.000.000 DE FRANCS CFA
 SNDKR2009B11276, 1.000.000 DE FRANCS CFALA SENEGALAISE DE CLIMATISATION SARL,26/06/2009,RUE MARCHAND X TOLBIAC APPT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMPORT-EXPORT,http://www.creationdentreprise.sn/la-senegalaise-de-climatisation-sarl, SNDKR2009B11276, 1.000.000 DE FRANCS CFA
 SNDKR2009B11544, 5.000.000 F CFAALO-MOBILE SARL,02/08/2009,DAKAR(Sénégal)-Boulevard du...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/alo-mobile-sarl, SNDKR2009B11544, 5.000.000 F CFA
 SNDKR2009B11844, 1.000.000 fF CFAPYGMA GROUPE SENEGAL SARL,08/07/2009,DAKAR (Sénègal) 32 Boulevard...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/pygma-groupe-senegal-sarl, SNDKR2009B11844, 1.000.000 fF CFA
 SNDKR2009B12811, 1.000.000 F CFASENEGAL AVENIR SARL,23/06/2009,DAKAR Cité Dakar Marine Nord...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/senegal-avenir-sarl, SNDKR2009B12811, 1.000.000 F CFA
 SNDKR2009B12235, 1.000.000 F CFA3A.M.IMMOBILIER-SARL,15/07/2009,DAKAR (Sénégal)  Dieuppel IV ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/3amimmobilier-sarl, SNDKR2009B12235, 1.000.000 F CFA
